original_path,file_type,inferred_purpose,assigned_domain_folder,category,confidence,reason,copied_to,notes_for_review
.env.local.example,.example,general project file,needs-review,misc,low,No clear domain keywords found,domain-organization/needs-review/misc/.env.local.example,Manual review recommended before publishing.
.env.local,.local,general project file,needs-review,misc,low,No clear domain keywords found,domain-organization/needs-review/misc/.env.local,Manual review recommended before publishing.
postcss.config.mjs,.mjs,general project file,shared-admin,misc,medium,config,domain-organization/shared-admin/misc/postcss.config.mjs,
QUICKSTART.md,.md,"copy, notes, or content draft",resources-domain,misc,low,"pdf, guide",domain-organization/resources-domain/misc/QUICKSTART.md,Low-confidence assignment; review before publishing.
BUILD_SUMMARY.md,.md,"copy, notes, or content draft",resources-domain,misc,medium,"pdf, guide, digital product, download, sales page",domain-organization/resources-domain/misc/BUILD_SUMMARY.md,
next-env.d.ts,.ts,website source file,shared-admin,misc,low,config,domain-organization/shared-admin/misc/next-env.d.ts,Low-confidence assignment; review before publishing.
README.md,.md,"copy, notes, or content draft",needs-review,misc,low,Multiple possible domain matches,domain-organization/needs-review/misc/README.md,Manual review recommended before publishing.
.gitignore,no extension,general project file,needs-review,misc,low,No clear domain keywords found,domain-organization/needs-review/misc/.gitignore,Manual review recommended before publishing.
package-lock.json,.json,general project file,needs-review,misc,low,Multiple possible domain matches,domain-organization/needs-review/misc/package-lock.json,Manual review recommended before publishing.
package.json,.json,technical config / deployment note,shared-admin,technical,high,"config, private, technical/config file",domain-organization/shared-admin/technical/package.json,
DEPLOYMENT.md,.md,"copy, notes, or content draft",needs-review,misc,low,Multiple possible domain matches,domain-organization/needs-review/misc/DEPLOYMENT.md,Manual review recommended before publishing.
domain-organization-prompt.txt,.txt,"copy, notes, or content draft",resources-domain,misc,high,"pdf, workbook, worksheet, guide, toolkit, digital product, download, bundle",domain-organization/resources-domain/misc/domain-organization-prompt.txt,
organize_payhip_etsy_products.py,.py,general project file,needs-review,products,low,No clear domain keywords found,domain-organization/needs-review/products/organize_payhip_etsy_products.py,Manual review recommended before publishing.
tsconfig.json,.json,general project file,shared-admin,misc,medium,config,domain-organization/shared-admin/misc/tsconfig.json,
.env.example,.example,general project file,needs-review,misc,low,No clear domain keywords found,domain-organization/needs-review/misc/.env.example,Manual review recommended before publishing.
AGENTS.md,.md,"copy, notes, or content draft",resources-domain,misc,low,guide,domain-organization/resources-domain/misc/AGENTS.md,Low-confidence assignment; review before publishing.
organize_domains.py,.py,general project file,needs-review,misc,low,No clear domain keywords found,domain-organization/needs-review/misc/organize_domains.py,Manual review recommended before publishing.
eslint.config.mjs,.mjs,general project file,shared-admin,misc,medium,config,domain-organization/shared-admin/misc/eslint.config.mjs,
CLAUDE.md,.md,"copy, notes, or content draft",needs-review,misc,low,No clear domain keywords found,domain-organization/needs-review/misc/CLAUDE.md,Manual review recommended before publishing.
next.config.ts,.ts,website source file,shared-admin,misc,medium,config,domain-organization/shared-admin/misc/next.config.ts,
kdp_writer_pre_push_check.py,.py,general project file,needs-review,misc,low,No clear domain keywords found,domain-organization/needs-review/misc/kdp_writer_pre_push_check.py,Manual review recommended before publishing.
app/favicon.ico,.ico,general project file,needs-review,misc,low,No clear domain keywords found,domain-organization/needs-review/misc/app/favicon.ico,Manual review recommended before publishing.
app/.DS_Store,no extension,general project file,needs-review,misc,low,No clear domain keywords found,domain-organization/needs-review/misc/app/.DS_Store,Manual review recommended before publishing.
app/layout.tsx,.tsx,website source file,resources-domain,misc,medium,"pdf, workbook, download",domain-organization/resources-domain/misc/app/layout.tsx,
app/page.tsx,.tsx,website source file,resources-domain,misc,high,"pdf, workbook, guide, download, bundle, resource",domain-organization/resources-domain/misc/app/page.tsx,
app/globals.css,.css,website source file,weepingwillowwhisperer.com,misc,low,willow,domain-organization/weepingwillowwhisperer.com/misc/app/globals.css,Low-confidence assignment; review before publishing.
app/product/[id]/page.tsx,.tsx,website source file,needs-review,products,low,Multiple possible domain matches,domain-organization/needs-review/products/app/product/[id]/page.tsx,Manual review recommended before publishing.
app/checkout/success/page.tsx,.tsx,website source file,needs-review,misc,low,Multiple possible domain matches,domain-organization/needs-review/misc/app/checkout/success/page.tsx,Manual review recommended before publishing.
app/api/checkout/route.ts,.ts,website source file,needs-review,misc,low,Multiple possible domain matches,domain-organization/needs-review/misc/app/api/checkout/route.ts,Manual review recommended before publishing.
app/whisper/page.tsx,.tsx,website source file,weepingwillowwhisperer.com,misc,low,"willow, ms",domain-organization/weepingwillowwhisperer.com/misc/app/whisper/page.tsx,Low-confidence assignment; review before publishing.
kdp-writer-pre-push-review/kdp-writer-pre-push-report.md,.md,"copy, notes, or content draft",shared-admin,misc,low,"raw, config",domain-organization/shared-admin/misc/kdp-writer-pre-push-review/kdp-writer-pre-push-report.md,Low-confidence assignment; review before publishing.
kdp-writer-pre-push-review/kdp-writer-app-candidates.csv,.csv,general project file,shared-admin,misc,low,config,domain-organization/shared-admin/misc/kdp-writer-pre-push-review/kdp-writer-app-candidates.csv,Low-confidence assignment; review before publishing.
.claude/settings.local.json,.json,general project file,needs-review,misc,low,Multiple possible domain matches,domain-organization/needs-review/misc/.claude/settings.local.json,Manual review recommended before publishing.
.claude/launch.json,.json,general project file,shared-admin,launch-materials,low,config,domain-organization/shared-admin/launch-materials/.claude/launch.json,Low-confidence assignment; review before publishing.
.claude/worktrees/recursing-gauss-dc1519/postcss.config.mjs,.mjs,general project file,shared-admin,misc,medium,config,domain-organization/shared-admin/misc/.claude/worktrees/recursing-gauss-dc1519/postcss.config.mjs,
